FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,mrkt_frqcy,mrkt_setnm,prdct_desc,mrkt_gds_o,mrkt_type,source,market_nam,mrkt_mon,mrkt_tue,mrkt_wed,mrkt_thur,mrkt_fri,mrkt_sat,mrkt_sun,mrkt_days,set_type,x,y
3432,42050d94-119b-4380-aee7-c4d973ffa377,117273,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Mbiaso 1,AKSAFG08,Nsit Ibom,3020,Akwa Ibom,AK, ,Okpoedem Afaha Udofia, , , ,OSGOF,Okpoedem Market Afaha Udofia, , , , , , , ,0,BUA,7.90001999962334,4.87159999994009
3433,ad38324e-5a9f-49e1-b878-0aa1581c14ba,117272,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Mbiaso 4,AKSAFG10,Nsit Ibom,3020,Akwa Ibom,AK, ,Ikot Iwud Ikot Iwud, , , ,OSGOF,Ikot Iwud Market Ikot Iwud, , , , , , , ,0,HA,7.87484000036579,4.85439999996009
3434,da54724c-3f82-480c-86d0-63f93aa6aaad,117271,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Mbiaso 4,AKSAFG10,Nsit Ibom,3020,Akwa Ibom,AK, ,Urua Ikot Ebre Ikot Ebre, , , ,OSGOF,Urua Ikot Ebre Ikot Ebre, , , , , , , ,0,HA,7.90508000004201,4.84859000002854
3435,ea1ce873-92a5-475e-9606-425c2a2058db,117270,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Mbiaso 2,AKSAFG04,Nsit Ibom,3020,Akwa Ibom,AK, ,Anwa Mbiokporo 2, , , ,OSGOF,Anwa Market Mbiokporo Ii, , , , , , , ,0,BUA,7.91657999976724,4.83354000027083
3436,55fe576f-5ca0-4919-9256-35ee50d38ca3,117269,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Mbiaso 5,AKSAFG03,Nsit Ibom,3020,Akwa Ibom,AK, ,Afaha Nsit Afaha Ntup, , , ,OSGOF,Afaha Nsit Market Afaha Ntup, , , , , , , ,0,BUA,7.88385999993909,4.81207999989215
3437,1302df36-1e81-4d06-b663-f154da77bbc8,117268,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ward 3,AKSAED03,Nsit Atai,3019,Akwa Ibom,AK, ,Idiaba, , , ,OSGOF,Community Market Idiaba, , , , , , , ,0,HA,8.02728999973374,4.83976999978569
3438,efb1b9c0-8c51-45b5-ae60-d884fdf2a052,117267,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ikpa Ikono 1,AKSMKP14,Mkpat Enin,3018,Akwa Ibom,AK, ,Ibianga, , , ,OSGOF,Ibianga Market, , , , , , , ,0,HA,7.79519999968028,4.85883000010449
3439,07595bae-9af9-4866-991e-e9442e93f6ad,117266,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ikpa Ikono 1,AKSMKP14,Mkpat Enin,3018,Akwa Ibom,AK, ,Ikot Ekpaw, , , ,OSGOF,Ikot Ekpaw Market, , , , , , , ,0,HA,7.76890000003505,4.84329000023337
3440,729cfaff-36a4-4deb-934f-5f27b2d81680,117264,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ukpum Minya 1,AKSMKP07,Mkpat Enin,3018,Akwa Ibom,AK, ,Ibot, , , ,OSGOF,Ibot Market, , , , , , , ,0,HA,7.72298999988863,4.69443999960635
3441,146b4882-62d2-4530-949a-b4677f65a07c,117263,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ikpa Ibom 3,AKSMKP06,Mkpat Enin,3018,Akwa Ibom,AK, ,Ekim, , , ,OSGOF,Ekim Market, , , , , , , ,0,BUA,7.75855999984418,4.62846000022887
3442,5795228d-7e93-481d-a145-0c98a5066b0e,117262,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ikpa Ibom 3,AKSMKP06,Mkpat Enin,3018,Akwa Ibom,AK, ,Ikot Akpaden, , , ,OSGOF,Ikot Akpaden Market, , , , , , , ,0,BUA,7.76303000003452,4.62717000009548
3443,b7d0f394-8339-44a9-95e7-80efb08b7135,117261,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ebughu 1,AKSENW01,Mbo,3017,Akwa Ibom,AK, ,Asakikang Asakikang Ebughu, , , ,OSGOF,Asakikang Market Asakikang Ebughu, , , , , , , ,0,HA,8.25311999978823,4.73373000023935
3444,67006612-1401-4d57-bc20-86f4ce739fb0,117260,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ebughu 1,AKSENW01,Mbo,3017,Akwa Ibom,AK, ,Okobo Okobo Ebughu, , , ,OSGOF,Okobo Market Okobo Ebughu, , , , , , , ,0,BUA,8.26214000026084,4.70530999995657
3445,2099d9df-c373-4047-9859-140298478492,117259,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ebughu 2,AKSENW03,Mbo,3017,Akwa Ibom,AK, ,Head Bridge Odun Ebughu, , , ,OSGOF,Head Bridge Market Odun Ebughu, , , , , , , ,0,BUA,8.24451999979823,4.67320999994161
